760,84,975,84,975,109,760,109
1153,164,1315,160,1316,203,1155,208
412,164,548,164,548,204,412,204
559,164,639,164,639,204,559,204
646,164,698,164,698,204,646,204
709,164,829,164,829,204,709,204
836,164,902,164,902,204,836,204
910,164,1147,164,1147,204,910,204
804,263,939,263,939,296,804,296
946,263,1012,263,1012,296,946,296
1026,263,1059,263,1059,292,1026,292
1059,263,1118,263,1118,296,1059,296
1125,266,1151,266,1151,292,1125,292
1215,269,1329,265,1331,295,1217,300
1344,263,1498,263,1498,296,1344,296
1162,270,1209,270,1209,296,1162,296
245,268,317,276,313,314,241,306
804,299,983,299,983,332,804,332
990,306,1052,306,1052,332,990,332
1059,303,1111,303,1111,336,1059,336
1118,300,1255,309,1253,341,1116,332
1260,306,1374,306,1374,332,1260,332
1385,306,1432,306,1432,332,1385,332
1440,311,1498,304,1501,331,1443,338
1070,343,1103,343,1103,369,1070,369
1352,339,1403,339,1403,372,1352,372
1425,339,1498,339,1498,372,1425,372
807,347,851,347,851,372,807,372
873,347,961,347,961,372,873,372
983,347,1052,347,1052,372,983,372
1121,347,1165,347,1165,372,1121,372
1187,347,1326,347,1326,372,1187,372
804,376,924,376,924,409,804,409
942,376,1012,376,1012,409,942,409
1034,376,1154,376,1154,409,1034,409
1176,376,1268,376,1268,409,1176,409
1286,376,1385,376,1385,409,1286,409
1407,380,1498,380,1498,409,1407,409
804,416,924,416,924,449,804,449
931,420,997,420,997,449,931,449
1005,420,1037,420,1037,445,1005,445
1078,420,1147,420,1147,449,1078,449
1154,420,1184,420,1184,449,1154,449
1242,420,1385,420,1385,449,1242,449
1443,416,1498,416,1498,445,1443,445
1045,423,1070,423,1070,445,1045,445
1191,423,1235,423,1235,445,1191,445
1396,423,1439,423,1439,449,1396,449
804,453,877,453,877,486,804,486
884,453,1001,453,1001,486,884,486
1008,453,1089,453,1089,486,1008,486
749,518,767,518,767,548,749,548
840,515,917,515,917,548,840,548
972,518,1059,518,1059,548,972,548
1096,515,1143,515,1143,548,1096,548
1147,518,1238,518,1238,551,1147,551
1244,521,1355,515,1356,547,1246,552
920,522,964,522,964,548,920,548
1063,522,1092,522,1092,544,1063,544
807,526,836,526,836,548,807,548
804,577,836,577,836,610,804,610
844,575,922,581,919,615,841,609
928,581,972,581,972,606,928,606
979,581,1019,581,1019,606,979,606
1154,581,1220,581,1220,606,1154,606
1224,577,1264,577,1264,613,1224,613
1273,574,1376,584,1373,615,1270,606
1381,581,1425,581,1425,606,1381,606
1432,581,1498,581,1498,606,1432,606
1026,584,1143,584,1143,613,1026,613
920,613,983,613,983,646,920,646
807,621,836,621,836,646,807,646
1012,621,1121,621,1121,650,1012,650
1140,621,1184,621,1184,646,1140,646
1201,622,1297,618,1298,646,1202,651
1304,621,1322,621,1322,646,1304,646
1341,621,1428,621,1428,646,1341,646
1447,621,1498,621,1498,646,1447,646
855,624,906,624,906,646,855,646
1304,650,1388,650,1388,683,1304,683
1469,654,1502,654,1502,683,1469,683
804,647,919,657,916,692,801,683
920,657,946,657,946,683,920,683
950,657,983,657,983,683,950,683
990,657,1067,657,1067,683,990,683
1078,655,1167,659,1165,687,1077,683
1421,657,1461,657,1461,683,1421,683
1173,661,1264,661,1264,683,1173,683
1271,661,1301,661,1301,683,1271,683
1399,661,1418,661,1418,683,1399,683
249,688,320,696,316,734,244,726
325,694,350,694,350,723,325,723
807,694,891,694,891,723,807,723
1067,694,1238,694,1238,723,1067,723
1341,694,1407,694,1407,723,1341,723
1414,694,1447,694,1447,723,1414,723
899,698,983,698,983,727,899,727
990,698,1056,698,1056,723,990,723
1246,698,1275,698,1275,719,1246,719
1286,698,1330,698,1330,723,1286,723
1454,698,1498,698,1498,723,1454,723
807,734,891,734,891,760,807,760
899,730,972,730,972,767,899,767
972,730,1005,730,1005,763,972,763
749,793,767,793,767,822,749,822
804,789,833,789,833,822,804,822
840,793,884,793,884,822,840,822
891,793,946,793,946,825,891,825
986,789,1056,789,1056,825,986,825
1151,793,1224,793,1224,822,1151,822
950,793,979,793,979,822,950,822
1063,796,1103,796,1103,825,1063,825
1114,796,1143,796,1143,822,1114,822
1235,796,1279,796,1279,822,1235,822
1286,796,1374,796,1374,822,1286,822
1458,793,1498,793,1498,825,1458,825
1385,800,1450,800,1450,825,1385,825
972,833,1016,833,1016,858,972,858
1089,829,1187,829,1187,858,1089,858
1191,829,1238,829,1238,858,1191,858
1242,833,1293,833,1293,858,1242,858
1301,833,1385,833,1385,858,1301,858
1388,833,1461,833,1461,858,1388,858
1469,833,1498,833,1498,858,1469,858
807,836,920,836,920,862,807,862
928,840,964,840,964,858,928,858
1023,840,1085,840,1085,866,1023,866
1030,869,1111,869,1111,899,1030,899
807,873,851,873,851,899,807,899
862,873,942,873,942,899,862,899
953,873,1008,873,1008,902,953,902
1121,873,1165,873,1165,899,1121,899
1271,873,1312,873,1312,899,1271,899
1180,877,1260,877,1260,902,1180,902
1322,877,1443,877,1443,902,1322,902
1454,877,1498,877,1498,899,1454,899
807,910,866,910,866,935,807,935
877,910,979,910,979,935,877,935
986,906,1034,906,1034,935,986,935
1041,910,1085,910,1085,935,1041,935
1096,910,1162,910,1162,935,1096,935
1173,910,1301,910,1301,935,1173,935
1312,910,1363,910,1363,935,1312,935
1374,910,1443,910,1443,935,1374,935
1450,906,1498,906,1498,935,1450,935
866,946,986,946,986,975,866,975
994,946,1059,946,1059,975,994,975
1118,946,1206,946,1206,979,1118,979
1213,946,1246,946,1246,975,1213,975
1297,946,1352,946,1352,979,1297,979
1392,942,1461,942,1461,975,1392,975
1469,946,1502,946,1502,975,1469,975
804,950,858,950,858,979,804,979
1067,950,1111,950,1111,975,1067,975
1249,950,1293,950,1293,975,1249,975
1355,946,1385,946,1385,975,1355,975
1344,983,1498,983,1498,1012,1344,1012
807,986,851,986,851,1012,807,1012
986,986,1048,986,1048,1012,986,1012
1085,986,1169,986,1169,1012,1085,1012
888,990,942,990,942,1012,888,1012
1206,990,1312,990,1312,1016,1206,1016
807,1023,972,1023,972,1052,807,1052
1319,1019,1392,1019,1392,1056,1319,1056
1396,1023,1418,1023,1418,1052,1396,1052
1425,1023,1454,1023,1454,1052,1425,1052
1454,1019,1487,1019,1487,1052,1454,1052
979,1026,1008,1026,1008,1052,979,1052
1012,1026,1056,1026,1056,1052,1012,1052
1147,1026,1184,1026,1184,1052,1147,1052
1063,1030,1140,1030,1140,1056,1063,1056
1191,1030,1308,1030,1308,1059,1191,1059
851,1085,920,1085,920,1111,851,1111
931,1081,997,1081,997,1111,931,1111
1008,1085,1052,1085,1052,1111,1008,1111
1063,1081,1125,1081,1125,1114,1063,1114
1187,1085,1238,1085,1238,1111,1187,1111
1249,1085,1359,1085,1359,1114,1249,1114
1374,1085,1436,1085,1436,1111,1374,1111
807,1089,836,1089,836,1111,807,1111
1447,1089,1498,1089,1498,1111,1447,1111
1136,1092,1173,1092,1173,1114,1136,1114
